ID,appliances
8980,4.027242944415697
2754,4.5828799316452775
9132,3.8041643291174054
14359,4.137033381320077
8875,4.180930507756826
10239,4.77104799420273
8348,4.574125560341552
15847,4.316000507712963
13166,3.988756348489868
7801,4.469326977588881
451,4.8236581904273965
12350,4.201382453767358
4614,4.73833782241308
7221,4.583492226987301
11384,5.1746885809088665
9564,3.7854250517397143
13607,4.06226018763746
15465,3.955838908444869
16337,3.287808651902644
4339,4.932315308288931
7888,4.18451829277972
10074,3.9300270762989995
1632,3.326395677962127
2300,3.8406636572089616
18124,5.1335487432586735
19145,4.424591598390724
8214,4.584974101671546
5861,4.10333502429491
17316,3.9896335439935364
9899,4.844202644344114
13280,4.119576343265061
7879,4.1880623311574015
16092,4.054998046484978
15111,4.167066977142695
3106,3.786391690544809
9303,4.77460621695099
4336,4.896060817603843
12105,5.122489111831335
17494,3.993795654834245
14954,4.148639556801511
17178,3.9865963830020354
13549,4.861849067513521
17311,4.017616212160392
2781,3.914248431422726
3826,3.7576227858442235
5371,4.007832566010821
7109,3.8278027526726612
3059,4.076786941071104
1153,3.809969127895963
14768,3.9313211870891935
19383,4.154011017962912
15702,4.996056209174895
13951,4.138902958171759
19205,4.08344141486464
14218,3.538333753299219
9347,5.664548924518533
8843,3.842609349963485
9052,5.1786671361786185
10726,4.074953934805275
9606,3.6210910189261143
2676,3.808688792004661
3509,3.756715568890485
18494,3.733321406526999
2495,3.186554225357153
6760,4.102667310384907
9489,3.895941431636183
3169,4.015053355359341
8237,4.577675400256229
2930,3.9369773851898
3047,4.441372622087968
5489,4.47633489197852
2794,3.8567936442621176
16010,4.51365639148202
11567,3.6436098265872467
15027,4.147058666772226
16986,4.03666847325411
2034,5.783566589597573
9880,4.161502829933545
17441,4.437713165140565
5711,3.709190035182319
928,3.7401429900790326
19278,4.937156421841984
4528,3.9639800081964847
8824,4.150477716383088
4116,3.923245821137047
3616,4.569546101295563
8842,3.74441092608351
5862,4.574712126110086
17863,4.877823954742544
11541,4.505034395701156
14508,3.911356991083792
4884,4.652706120334535
2141,3.7335256844485634
16437,4.639862594348572
7217,4.556626294493097
10755,4.291277897823744
12956,4.150195169836389
7711,3.858805076071767
2647,3.8023293356278893
18113,5.083422489782074
8332,4.386223444808184
19388,4.444098903045982
1034,5.725733137797706
10328,4.41135648752215
6177,3.914341998424873
4885,4.673126552857628
9842,4.032979236537506
10866,3.995468747847219
8223,4.846090426272589
6105,3.822404737234616
18932,3.9277955592135023
13499,4.397663812055986
19321,4.371403171414181
10979,4.319892811789827
10299,3.808457894836541
16836,4.6364125105893965
13003,4.058195347874327
11073,4.955758915650362
971,3.533105792080596
3310,5.598598475273536
2150,3.6850899145978895
14493,4.029982788008625
3930,3.432265651300263
936,3.684156410759639
2777,3.8068429001359365
7650,4.63401101968514
14608,4.17030339211155
13722,3.9342911012049404
503,3.920879486149859
7944,4.737666042437819
2498,3.6421772766036105
5945,4.106175491694272
5343,4.560711423564765
8144,3.7545410691730057
7330,4.120467550551442
18118,4.689072439387473
15084,4.192225291968996
15249,3.700406308423536
2909,4.567061933685485
7048,4.9934944148815505
12143,3.9185978264762635
14856,4.675455968184384
10246,4.751089595351453
11852,4.094344562222124
19576,4.459770465562201
11788,4.1983204346431755
13303,3.9914821070240936
15008,4.29647362902409
6063,5.03431914943065
11968,4.753312641790223
10796,4.358503195932142
313,5.110641601936674
3857,4.374809241489391
1297,4.8584435198644575
15010,4.164963905712883
16141,4.809191049319493
1350,3.7312418100101534
7534,3.7424749082316566
17290,4.588794155166997
16651,4.719708929782303
5683,3.713237344626676
